Helmert parameters
------------------------
Tx:           -0.0781190 meter
Ty:            0.1060542 meter
Tz:            0.0000433 meter
Rx:    0.000000007647708 rad     0.001577453 arcsec
Ry:    0.000000021016782 rad     0.004335023 arcsec
Rz:   -0.000000005142342 rad    -0.001060684 arcsec
S.:    1.000000002666990          0.002666992 ppm
RMS:            0.004190 meter

------------------------------------
               X(mm)   Y(mm)   Z(mm)
------------------------------------
St.dev:         3.68    1.71    5.88
Max.:           8.25    4.27   18.81
Min.:         -11.44   -4.24  -16.15
Mean:          -0.68   -0.09   -1.17
RMS:            3.73    1.71    5.98

       From points                                  To points                                    Residuals
----------------------------------------------------------------------------------------------------------------------------
Name              X              Y              Z              X              Y              Z        vX        vY        vZ
----------------------------------------------------------------------------------------------------------------------------
AASC   3172870.6868    604208.2329   5481574.2985   3172870.7299    604208.2796   5481574.2506   -0.0056   -0.0027   -0.0004
ADAC   1916240.7990    963576.8171   5986596.4836   1916240.8564    963576.8715   5986596.4698   -0.0003    0.0014    0.0031
AKRC   3254758.7999    295601.4003   5458918.7171   3254758.8546    295601.4488   5458918.6781    0.0079    0.0001    0.0125
ALES   2938027.5685    319096.1561   5633413.8460   2938027.6197    319096.2076   5633413.7981    0.0014    0.0027   -0.0036
ALTC   2011819.9417    866267.7661   5970245.1068   2011819.9979    866267.8194   5970245.0845   -0.0011    0.0010   -0.0027
ALTE   2024661.3539    821838.9722   5972113.3725   2024661.4095    821839.0229   5972113.3518   -0.0014   -0.0015   -0.0005
ALVC   2940409.1775    552141.7478   5614661.3374   2940409.2262    552141.7973   5614661.2891   -0.0018    0.0000   -0.0058
ANDE   2169481.1527    627616.7201   5944952.1403   2169481.2082    627616.7706   5944952.1167   -0.0003   -0.0006    0.0013
ANDO   2175766.1528    624248.0445   5943417.6891   2175766.2049    624248.0928   5943417.6577   -0.0038   -0.0028   -0.0064
ARDA   3049335.0534    412404.0383   5568121.1460   3049335.1007    412404.0882   5568121.0933   -0.0019    0.0011   -0.0067
AREC   3310416.1031    507077.6571   5410027.8563   3310416.1528    507077.7044   5410027.8126    0.0027   -0.0017    0.0075
ARNC   3121908.4011    633906.5807   5507319.3123   3121908.4435    633906.6266   5507319.2650   -0.0068   -0.0037   -0.0013
ASAC   3138261.3673    293529.1424   5526461.6189   3138261.4133    293529.1912   5526461.5639   -0.0019    0.0004   -0.0061
AURD   3066224.8691    508407.9358   5551486.5320   3066224.9109    508407.9869   5551486.4780   -0.0075    0.0018   -0.0083
BALC   2140934.3753    746664.0282   5941587.1175   2140934.4308    746664.0786   5941587.0842   -0.0009   -0.0013   -0.0098
BARC   2189670.4481    726323.8132   5926495.8026   2189670.5025    726323.8641   5926495.7721   -0.0016   -0.0005   -0.0060
BATC   1841212.3385   1051569.6396   5995292.8579   1841212.4003   1051569.6958   5995292.8554    0.0036    0.0026    0.0122
BERC   2876143.2807    507405.9943   5651709.5258   2876143.3317    507406.0438   5651709.4804    0.0001    0.0001   -0.0040
BERL   1831037.6651   1024767.2747   6002943.1643   1831037.7275   1024767.3305   6002943.1665    0.0041    0.0024    0.0168
BIRK   3321840.7914    480633.8879   5405500.1140   3321840.8423    480633.9376   5405500.0703    0.0041    0.0008    0.0079
BJAC   2197254.1138    653577.9710   5932029.5199   2197254.1674    653578.0206   5932029.4891   -0.0021   -0.0015   -0.0055
BJOC   2946468.3227    424528.2412   5622599.9934   2946468.3749    424528.2922   5622599.9491    0.0021    0.0020   -0.0007
BJUC   2785003.1800    481750.8755   5698729.4894   2785003.2356    481750.9269   5698729.4556    0.0040    0.0020    0.0058
BLEC   2537417.0136    623737.8818   5799233.3953   2537417.0658    623737.9327   5799233.3589   -0.0016    0.0005   -0.0033
BMLC   3203435.2811    291655.9968   5489223.9912   3203435.3348    291656.0446   5489223.9519    0.0065   -0.0007    0.0111
BOD3   2391774.5018    615614.8508   5860965.8688   2391774.5545    615614.9015   5860965.8352   -0.0019    0.0002   -0.0037
BOEC   2251903.8072    580985.5630   5919162.1617   2251903.8620    580985.6145   5919162.1351   -0.0005    0.0008    0.0005
BREC   1966762.5637    806743.9689   5993342.4390   1966762.6212    806744.0199   5993342.4228    0.0003   -0.0013    0.0030
BRGS   3155871.3769    290902.6609   5516573.4448   3155871.4260    290902.7102   5516573.3939    0.0014    0.0009   -0.0016
BROC   2595872.0179    561590.1114   5779477.5103   2595872.0690    561590.1609   5779477.4685   -0.0020   -0.0004   -0.0070
BYGC   3278594.5728    449040.8097   5434527.7491   3278594.6240    449040.8545   5434527.7041    0.0041   -0.0040    0.0060
DGLS   3122530.4464    466759.7465   5524284.6692   3122530.4885    466759.7982   5524284.6146   -0.0066    0.0027   -0.0073
DOKK   3068285.3201    545196.0258   5546563.8478   3068285.3581    545196.0757   5546563.7986   -0.0114    0.0005   -0.0037
DOMS   2957496.5401    474476.5148   5612992.3142   2957496.5926    474476.5650   5612992.2655    0.0023    0.0010   -0.0052
DONC   2530373.3806    559656.3832   5808446.3433   2530373.4347    559656.4331   5808446.3083    0.0006   -0.0002   -0.0017
DREC   2947894.4097    628051.9314   5603013.9707   2947894.4584    628051.9783   5603013.9272   -0.0021   -0.0028   -0.0014
EIDV   3104486.6231    618177.0019   5518846.6031   3104486.6617    618177.0486   5518846.5523   -0.0108   -0.0029   -0.0050
ETNE   3212117.5342    333887.4337   5481761.5994   3212117.5805    333887.4830   5481761.5481   -0.0011    0.0008   -0.0010
FAUS   2383814.2727    656303.2797   5859745.0560   2383814.3253    656303.3311   5859745.0221   -0.0021    0.0006   -0.0045
FAVA   3007584.2952    540767.8352   5579954.3350   3007584.3408    540767.8830   5579954.2865   -0.0043   -0.0016   -0.0044
FETC   3144014.2640    620694.6194   5496278.2193   3144014.3029    620694.6647   5496278.1651   -0.0101   -0.0042   -0.0075
FINC   2157475.3215    700471.3692   5941222.4054   2157475.3767    700471.4202   5941222.3737   -0.0010   -0.0004   -0.0076
FINO   3259502.9835    335388.4272   5453815.7751   3259503.0352    335388.4761   5453815.7278    0.0048    0.0003    0.0040
FLIC   3069140.7761    653054.3568   5534533.7728   3069140.8195    653054.4040   5534533.7247   -0.0063   -0.0025   -0.0033
FLOC   3029753.1168    267083.0344   5587514.9061   3029753.1674    267083.0842   5587514.8604    0.0017    0.0013    0.0010
FOLC   2734119.4528    562322.7587   5715876.5447   2734119.5012    562322.8043   5715876.5045   -0.0038   -0.0041   -0.0023
FOLD   2943776.3795    518435.5176   5616377.4763   2943776.4272    518435.5674   5616377.4296   -0.0027    0.0004   -0.0038
FORC   3039451.5274    313417.6474   5579913.6373   3039451.5744    313417.6973   5579913.5841   -0.0019    0.0013   -0.0067
FREC   3213541.3427    621178.0963   5456026.1119   3213541.3864    621178.1431   5456026.0658   -0.0046   -0.0027    0.0022
FROC   2785000.3656    424190.0978   5703190.4585   2785000.4198    424190.1469   5703190.4193    0.0028   -0.0001    0.0009
GJES   3297584.5070    339039.1657   5431020.0966   3297584.5618    339039.2135   5431020.0565    0.0083   -0.0007    0.0121
GJOC   2911050.9335    466961.8921   5637148.6168   2911050.9818    466961.9433   5637148.5666   -0.0022    0.0019   -0.0077
GLOC   3007511.2960    326280.0409   5596312.1309   3007511.3422    326280.0918   5596312.0764   -0.0030    0.0023   -0.0088
GOLC   3091393.5808    486884.2049   5539268.6009   3091393.6253    486884.2542   5539268.5499   -0.0045    0.0001   -0.0046
GRAN   3105730.1053    578964.5475   5522491.3272   3105730.1478    578964.5936   5522491.2783   -0.0067   -0.0033   -0.0028
GROC   2693626.6891    587849.6235   5732271.9006   2693626.7429    587849.6731   5732271.8612    0.0013   -0.0003   -0.0026
HAMA   2299448.6479    642405.2951   5894709.5992   2299448.6994    642405.3458   5894709.5632   -0.0037   -0.0002   -0.0083
HAMC   1939134.9921    849781.6975   5996394.8572   1939135.0482    849781.7474   5996394.8370   -0.0013   -0.0027   -0.0021
HANC   2064009.4410    736022.1218   5969866.8800   2064009.4999    736022.1713   5969866.8580    0.0023   -0.0023   -0.0002
HAUC   3190242.2876    402823.6560   5490993.5559   3190242.3323    402823.7038   5490993.5020   -0.0032   -0.0010   -0.0046
HAVC   1893120.4595    869251.7195   6008184.7675   1893120.5184    869251.7723   6008184.7616    0.0012    0.0001    0.0112
